TIME_PERIOD,OBS_VALUE
2017-S2,9080.000
2018-S1,8353.000
2018-S2,12814.000
2019-S1,3479.000
2019-S2,3822.000
2020-S1,5778.000
2020-S2,4134.000
2021-S1,4323.000
2021-S2,2541.000
2022-S1,6910.000
2022-S2,6978.000
2023-S1,13495.000
2023-S2,8739.000
2024-S1,9958.000
2024-S2,8956.000
2025-S1,9034.000
2025-S2,8291.000
2015-S1,5064.000
2015-S2,6119.000
2016-S1,12027.000
2016-S2,14417.000
2017-S1,6262.000
2017-S2,1766.000
2018-S1,1232.000
2018-S2,2138.000
2019-S1,2467.000
2019-S2,2357.000
2020-S1,1975.000
2020-S2,2972.000
2021-S1,2418.000
2021-S2,1275.000
2022-S1,2007.000
2022-S2,2246.000
2023-S1,2667.000
2023-S2,1884.000
2024-S1,1894.000
2024-S2,1322.000
2025-S1,6088.000
2025-S2,4104.000
2016-S1,1370.527
2016-S2,68.695
2017-S1,955.403
2017-S2,112.279
2018-S1,531.022
2018-S2,872.426
2019-S1,853.596
2019-S2,251.341
2020-S1,221.214
2020-S2,4276.715
2021-S1,62.534
2021-S2,94.366
2022-S1,349.828
2022-S2,536.153
2023-S1,2311.548
2023-S2,1999.047
2024-S1,1346.549
2024-S2,1000.942
2025-S1,784.298
2025-S2,1143.089
2015-S1,11651554.394
2015-S2,10335571.811
2016-S1,8876497.090
2016-S2,7205244.589
2017-S1,7533192.058
2017-S2,7267336.389
2018-S1,6187279.824
2018-S2,5882081.487
2019-S1,5466464.338
2019-S2,5052546.544
2020-S1,4853063.714
2020-S2,4629413.521
2021-S1,4390561.148
2021-S2,4636099.522
2022-S1,4421489.681
2022-S2,3417568.632
2023-S1,3405343.818
2023-S2,3301166.286
2024-S1,3202224.272
2024-S2,3066404.341
2025-S1,3222094.890
2025-S2,3223691.234
2015-S1,304660.769
2015-S2,236414.086
2016-S1,339742.170
2016-S2,222449.738
2017-S1,205739.451
2017-S2,192382.234
2018-S1,181770.153
2018-S2,174707.781
2019-S1,252112.865
2019-S2,223794.560
2020-S1,355541.573
2020-S2,297690.583
2021-S1,265405.835
2021-S2,254232.287
2022-S1,321786.358
2022-S2,352649.918
2023-S1,332731.050
2023-S2,288810.971
2024-S1,274206.653
2024-S2,253657.787
2025-S1,257612.926
2025-S2,279168.529
2015-S1,889793.000
2015-S2,801935.000
2016-S1,737295.500
2016-S2,835486.500
2017-S1,728901.500
2017-S2,633902.500
2018-S1,555784.000
2018-S2,552321.000
2019-S1,400116.000
2019-S2,381759.500
2020-S1,398958.000
2020-S2,360984.500
2021-S1,332504.000
2021-S2,332653.500
2022-S1,348647.500
2022-S2,350853.500
2023-S1,319010.000
2023-S2,309364.500
2024-S1,310172.000
2024-S2,306088.000
2025-S1,647788.500
2025-S2,346098.500
2015-S1,34269.174
2015-S2,19571.987
2016-S1,8898.000
2016-S2,5950.000
2017-S1,12587.000
2017-S2,6515.500
2018-S1,43654.000
2018-S2,300366.500
2019-S1,68255.000
2019-S2,134129.601
2020-S1,116584.006
2020-S2,208242.242
2021-S1,183674.310
2021-S2,88121.791
2022-S1,82667.676
2022-S2,129865.935
2023-S1,277587.255
2023-S2,257272.380
2024-S1,524041.690
2024-S2,639324.941
2025-S1,988769.000
2025-S2,686301.000
2015-S1,9318557.500
2015-S2,7974676.500
2016-S1,8087064.000
2016-S2,6467339.000
2017-S1,6260019.000
2017-S2,6008238.000
2018-S1,5320742.500
2018-S2,5136270.500
2019-S1,4529403.000
2019-S2,4435843.000
2020-S1,4784366.000
2020-S2,4718099.000
2021-S1,4768689.000
2021-S2,4551055.000
2022-S1,4629761.500
2022-S2,4647514.000
2023-S1,5001043.000
2023-S2,4231521.500
2024-S1,4540763.500
2024-S2,4592845.500
2025-S1,5463133.000
2025-S2,5334845.000
2015-S1,58303.000
2015-S2,58621.000
2016-S1,50431.295
2016-S2,55048.721
2017-S1,71669.005
2017-S2,82594.647
2018-S1,59331.057
2018-S2,37583.382
2019-S1,48628.322
2019-S2,47664.596
2020-S1,34260.032
2020-S2,49218.419
2021-S1,52329.410
2021-S2,50664.823
2022-S1,42779.387
2022-S2,24772.595
2023-S1,34767.852
2023-S2,37149.368
2024-S1,38967.521
2024-S2,45066.810
2025-S1,68359.498
2025-S2,76560.668
2015-S1,226485.773
2015-S2,215238.784
2016-S1,295791.544
2016-S2,193085.044
2017-S1,166230.933
2017-S2,148785.820
2018-S1,144609.497
2018-S2,145736.087
2019-S1,202478.020
2019-S2,172752.878
2020-S1,371464.688
2020-S2,230546.871
2021-S1,178565.265
2021-S2,166662.283
2022-S1,274984.937
2022-S2,335399.179
2023-S1,291939.039
2023-S2,243870.034
2024-S1,248766.284
2024-S2,237088.389
2025-S1,202015.035
2025-S2,188149.182
2015-S1,6305454.621
2015-S2,5446332.086
2016-S1,5024299.746
2016-S2,4085315.680
2017-S1,3535039.551
2017-S2,3062870.716
2018-S1,2750933.684
2018-S2,2577794.919
2019-S1,2304567.311
2019-S2,2209444.432
2020-S1,2252519.869
2020-S2,2126927.658
2021-S1,2037897.309
2021-S2,2090977.585
2022-S1,2235383.934
2022-S2,2322112.772
2023-S1,2268120.258
2023-S2,2249856.981
2024-S1,2263414.685
2024-S2,2192575.939
2025-S1,2536514.726
2025-S2,2581018.078
2015-S1,1539185.000
2015-S2,1546117.000
2016-S1,1853102.000
2016-S2,1778801.000
2017-S1,2330105.000
2017-S2,2619494.000
2018-S1,2128984.000
2018-S2,2024557.000
2019-S1,1573546.000
2019-S2,1493778.000
2020-S1,2249478.000
2020-S2,2137988.000
2021-S1,2362582.000
2021-S2,2473692.000
2022-S1,2768133.000
2022-S2,3050826.000
2023-S1,3152783.000
2023-S2,2305209.000
2024-S1,2626296.000
2024-S2,2604914.000
2025-S1,2956068.000
2025-S2,2979749.000
2015-S1,490.272
2015-S2,490.901
2016-S1,505.971
2016-S2,469.827
2017-S1,496.153
2017-S2,451.871
2018-S1,506.864
2018-S2,521.484
2019-S1,553.195
2019-S2,500.754
2020-S1,512.142
2020-S2,503.154
2021-S1,496.749
2021-S2,493.855
2022-S1,511.895
2022-S2,500.186
2023-S1,532.314
2023-S2,527.915
2024-S1,555.015
2024-S2,523.315
2025-S1,555.325
2025-S2,524.282
2015-S1,6452476.445
2015-S2,5573417.884
2016-S1,5138236.790
2016-S2,4195437.474
2017-S1,3615302.433
2017-S2,3140432.506
2018-S1,2811190.763
2018-S2,2642917.906
2019-S1,2361485.484
2019-S2,2272484.313
2020-S1,2346339.539
2020-S2,2228476.798
2021-S1,2164759.844
2021-S2,2207996.910
2022-S1,2415340.697
2022-S2,2497254.689
2023-S1,2491483.951
2023-S2,2402465.685
2024-S1,2407775.134
2024-S2,2318833.306
2025-S1,2640952.096
2025-S2,2694347.212
2016-S1,2625.828
2016-S2,1780.696
2017-S1,1585.989
2017-S2,1323.210
2018-S1,1327.590
2018-S2,1190.007
2019-S1,3086.583
2019-S2,2985.393
2020-S1,4136.554
2020-S2,4588.028
2021-S1,3423.897
2021-S2,4954.973
2022-S1,8687.995
2022-S2,9750.573
2023-S1,9482.617
2023-S2,9365.104
