date,EURIBOR 3 mois,EURIBOR 6 mois,EUR/USD mensuel,EUR/GBP mensuel,EUR/JPY mensuel
2010-01,0.67975,0.97725,1.42721,0.88305,130.339
2010-02,0.6617,0.96455,1.36857,0.8760425,123.4555
2010-03,0.6449565,0.9524348,1.356852173913,0.901602173913,123.0282608695652
2010-04,0.6447,0.9552,1.34057,0.874555,125.3255
2010-05,0.6865238,0.9822381,1.2565333333333,0.8571442857143,115.8271428571429
2010-06,0.7275909,1.0117727,1.22085,0.8277068181818,110.9936363636364
2010-07,0.8488182,1.1042273,1.277,0.8356568181818,111.7286363636364
2010-08,0.8955,1.1471818,1.2894181818182,0.8236318181818,110.0409090909091
2010-09,0.8805,1.1372727,1.3067,0.8398659090909,110.2554545454545
2010-10,0.9976667,1.2239048,1.389780952381,0.8763761904762,113.6714285714286
2010-11,1.0420455,1.2690455,1.3660954545455,0.8550954545455,112.6863636363636
2010-12,1.0216957,1.2506957,1.3220130434783,0.8481282608696,110.1095652173913
2011-01,1.0172381,1.2535714,1.3359666666667,0.8471171428571,110.3809523809524
2011-02,1.08675,1.35225,1.364895,0.8463545,112.768
2011-03,1.1755217,1.4832609,1.3999173913043,0.8665326086957,114.3973913043479
2011-04,1.3212105,1.6213684,1.4441789473684,0.8829131578947,120.4152631578947
2011-05,1.4250909,1.7068182,1.4348636363636,0.8778772727273,116.4672727272727
2011-06,1.4885909,1.7492727,1.4388409090909,0.8874477272727,115.7504545454545
2011-07,1.597619,1.8182381,1.4264285714286,0.8847595238095,113.2623809523809
2011-08,1.552087,1.7547826,1.4343217391304,0.8766847826087,110.4321739130435
2011-09,1.5364545,1.7359545,1.377,0.8717227272727,105.7504545454545
2011-10,1.5758571,1.7760952,1.3706333333333,0.8703595238095,105.0609523809524
2011-11,1.4846818,1.7064545,1.3555727272727,0.8573954545455,105.0204545454546
2011-12,1.4260952,1.6707143,1.3179047619048,0.8440547619048,102.5471428571428
2012-01,1.2222273,1.5047273,1.2904863636364,0.8321018181818,99.3263636363637
2012-02,1.0482857,1.345381,1.3224095238095,0.8369595238095,103.7666666666667
2012-03,0.8584545,1.1636818,1.3201,0.8344818181818,108.8763636363636
2012-04,0.7443158,1.0402105,1.3161736842105,0.8218842105263,107.0010526315789
2012-05,0.6849091,0.9703636,1.2788909090909,0.8037077272727,101.9704545454545
2012-06,0.6588571,0.9345238,1.2526285714286,0.8057928571429,99.2604761904762
2012-07,0.4970455,0.7794091,1.2288454545455,0.7882659090909,97.0672727272727
2012-08,0.3323913,0.606087,1.2399956521739,0.7888365217391,97.5786956521739
2012-09,0.2463,0.4839,1.28557,0.798211,100.493
2012-10,0.207913,0.4118261,1.2974173913043,0.806652173913,102.4739130434783
