iter	Passed	Remaining
150	10692	60119
151	10765	60059
152	10835	59985
153	10907	59919
154	10975	59836
155	11046	59765
156	11115	59683
157	11181	59588
158	11251	59515
159	11319	59429
160	11391	59363
161	11459	59280
162	11530	59206
163	11602	59144
164	11671	59063
165	11738	58977
166	11806	58893
167	11874	58805
168	11942	58724
169	12012	58647
170	12081	58570
171	12149	58485
172	12216	58399
173	12287	58328
174	12355	58245
175	12422	58160
176	12494	58094
177	12563	58018
178	12630	57932
179	12642	57595
180	12711	57515
181	12780	57439
182	12799	57145
183	12869	57072
184	12937	56994
185	13005	56916
186	13072	56834
187	13142	56765
188	13211	56691
189	13282	56623
190	13351	56549
191	13419	56473
192	13487	56395
193	13557	56326
194	13626	56252
195	13696	56182
196	13766	56112
197	13835	56042
198	13905	55970
199	13974	55897
200	14042	55822
201	14110	55742
202	14179	55671
203	14252	55614
204	14321	55539
205	14390	55464
206	14457	55384
207	14526	55311
208	14595	55240
209	14663	55161
210	14731	55087
211	14799	55008
212	14869	54939
213	14938	54865
214	15011	54811
215	15087	54763
216	15157	54693
217	15226	54620
218	15295	54546
219	15367	54483
220	15439	54424
221	15522	54397
222	15602	54363
223	15681	54324
224	15756	54270
225	15825	54197
226	15892	54119
227	15962	54047
228	16031	53973
229	16102	53909
230	16172	53838
231	16253	53805
232	16331	53762
233	16403	53695
234	16473	53626
235	16548	53573
236	16622	53514
237	16691	53441
238	16768	53392
239	16845	53344
240	16929	53318
241	17015	53297
242	17092	53247
243	17170	53200
244	17247	53151
245	17324	53101
246	17402	53053
247	17478	52998
248	17562	52968
249	17645	52936
250	17725	52892
251	17802	52843
252	17891	52826
253	17968	52772
254	18037	52698
255	18110	52633
256	18185	52575
257	18254	52500
258	18326	52432
259	18397	52362
260	18464	52281
261	18532	52201
262	18599	52121
263	18668	52046
264	18736	51966
265	18805	51890
266	18873	51813
267	18941	51737
268	19009	51659
269	19078	51583
270	19146	51503
271	19215	51430
272	19282	51348
273	19349	51270
274	19419	51195
275	19487	51119
276	19555	51043
277	19625	50969
278	19692	50890
279	19761	50814
280	19827	50733
281	19896	50658
282	19966	50586
283	20035	50511
284	20103	50434
285	20173	50362
286	20241	50286
287	20312	50217
288	20380	50140
289	20449	50066
290	20519	49993
291	20587	49917
292	20653	49836
293	20719	49755
294	20787	49677
295	20853	49597
296	20922	49523
297	20990	49447
298	21059	49372
299	21128	49298
300	21195	49220
301	21263	49145
302	21330	49067
303	21397	48988
304	21464	48911
305	21471	48697
306	21540	48623
307	21609	48550
308	21675	48472
309	21744	48400
310	21813	48325
311	21878	48245
312	21948	48173
313	22015	48097
314	22083	48021
315	22151	47948
316	22219	47873
317	22288	47800
318	22357	47727
319	22425	47654
320	22493	47579
321	22559	47500
322	22627	47425
323	22693	47349
324	22760	47272
325	22828	47198
326	22899	47129
327	22966	47054
328	23034	46978
329	23100	46901
330	23166	46823
331	23236	46752
332	23304	46678
333	23371	46603
334	23437	46526
335	23505	46450
336	23571	46372
337	23640	46302
338	23709	46229
339	23777	46156
340	23845	46082
341	23849	45886
342	23920	45818
343	23985	45739
344	24053	45666
345	24122	45595
346	24191	45524
347	24260	45454
348	24329	45381
349	24395	45306
350	24461	45230
351	24530	45158
352	24599	45087
353	24665	45011
354	24733	44938
355	24801	44865
356	24867	44789
357	24936	44718
358	25003	44644
359	25073	44574
360	25140	44500
361	25210	44431
362	25277	44357
363	25344	44284
364	25414	44213
365	25481	44140
366	25551	44070
367	25618	43996
368	25686	43924
369	25756	43855
370	25824	43783
371	25891	43710
372	25968	43651
373	26047	43598
374	26125	43542
375	26212	43501
376	26297	43456
377	26369	43390
378	26439	43321
379	26519	43267
380	26590	43200
381	26664	43137
382	26741	43080
383	26811	43010
384	26885	42947
385	26956	42879
386	27027	42811
387	27096	42740
388	27171	42678
389	27191	42530
390	27263	42463
391	27338	42401
392	27409	42334
393	27484	42272
394	27559	42212
395	27629	42141
396	27699	42071
397	27767	41999
398	27836	41929
399	27905	41858
400	27973	41786
401	28043	41716
402	28114	41648
403	28181	41574
404	28249	41502
405	28318	41431
406	28385	41357
407	28459	41294
408	28528	41222
409	28597	41152
410	28665	41080
411	28735	41010
412	28803	40939
413	28869	40863
414	28937	40792
415	29006	40720
416	29074	40648
417	29140	40573
418	29208	40502
419	29277	40430
420	29347	40361
421	29415	40289
422	29484	40218
423	29551	40145
424	29619	40072
425	29686	39999
426	29753	39926
427	29821	39854
428	29889	39782
429	29956	39709
430	30025	39639
431	30094	39568
432	30163	39498
433	30230	39425
434	30298	39353
435	30369	39284
436	30438	39215
437	30507	39144
438	30575	39072
439	30643	39000
440	30712	38930
441	30780	38858
442	30848	38787
443	30916	38715
444	30984	38644
445	31052	38572
446	31121	38501
447	31189	38430
448	31258	38359
449	31327	38288
450	31396	38219
451	31465	38148
452	31532	38076
453	31600	38004
454	31668	37932
455	31736	37861
456	31803	37788
457	31872	37718
458	31939	37645
459	32006	37573
460	32076	37503
461	32143	37430
462	32210	37358
463	32278	37287
464	32348	37217
465	32414	37144
466	32483	37074
467	32550	37002
468	32618	36930
469	32686	36858
470	32752	36786
471	32820	36714
472	32889	36644
473	32958	36573
474	33026	36503
475	33094	36432
476	33163	36361
477	33231	36290
478	33299	36218
479	33368	36149
480	33436	36077
481	33504	36007
482	33571	35934
483	33639	35863
484	33707	35792
485	33773	35719
486	33841	35648
487	33909	35576
488	33979	35508
489	34048	35438
490	34117	35368
491	34186	35298
492	34255	35228
493	34324	35158
494	34392	35087
495	34460	35016
496	34529	34946
497	34596	34874
498	34664	34803
499	34733	34733
500	34801	34662
501	34869	34591
502	34936	34520
503	35007	34451
504	35076	34381
505	35142	34309
506	35210	34238
507	35279	34168
508	35349	34099
509	35416	34027
510	35484	33956
511	35552	33885
512	35619	33814
513	35687	33743
514	35754	33671
515	35821	33599
516	35887	33527
517	35957	33458
518	36026	33388
519	36092	33316
520	36158	33243
521	36225	33172
522	36294	33102
523	36363	33032
524	36433	32963
525	36501	32892
526	36567	32820
527	36635	32749
528	36702	32678
529	36771	32608
530	36838	32537
531	36908	32468
532	36976	32397
533	37045	32328
534	37113	32257
535	37181	32186
536	37250	32117
537	37318	32046
538	37386	31976
539	37453	31904
540	37520	31833
541	37588	31762
542	37655	31691
543	37723	31621
544	37794	31552
545	37862	31482
546	37933	31414
547	38001	31344
548	38068	31272
549	38135	31202
550	38203	31130
551	38270	31060
552	38338	30989
553	38405	30918
554	38473	30847
555	38542	30778
556	38609	30707
557	38677	30637
558	38744	30566
559	38814	30497
560	38882	30426
561	38948	30354
562	39015	30283
563	39084	30214
564	39152	30143
565	39188	30049
566	39257	29979
567	39325	29909
568	39393	29839
569	39460	29768
570	39528	29698
571	39595	29627
572	39663	29557
573	39732	29487
574	39800	29418
575	39871	29349
576	39937	29278
577	40005	29207
578	40072	29137
579	40141	29067
580	40209	28998
581	40281	28930
582	40349	28860
583	40417	28790
584	40485	28720
585	40553	28650
586	40620	28579
587	40691	28511
588	40760	28442
589	40828	28372
590	40896	28302
591	40963	28231
592	41031	28161
593	41098	28090
594	41165	28020
595	41234	27950
596	41304	27881
597	41370	27810
598	41438	27740
599	41507	27671
600	41577	27603
601	41646	27533
602	41714	27463
603	41782	27393
604	41854	27326
605	41933	27263
606	42002	27194
607	42070	27124
608	42137	27053
609	42204	26983
610	42275	26915
611	42344	26845
612	42411	26775
613	42480	26705
614	42546	26634
615	42614	26564
616	42681	26494
617	42749	26424
618	42817	26354
619	42884	26284
620	42953	26214
621	43022	26145
622	43091	26076
623	43159	26006
624	43230	25938
625	43297	25867
626	43366	25798
627	43437	25730
628	43506	25661
629	43572	25590
630	43640	25520
631	43711	25452
632	43778	25381
633	43847	25312
634	43915	25242
635	43983	25173
636	44053	25104
637	44121	25034
638	44187	24963
639	44254	24893
640	44323	24823
641	44390	24753
642	44459	24684
643	44525	24613
644	44591	24542
645	44659	24472
646	44726	24402
647	44794	24332
648	44862	24262
649	44931	24193
650	44998	24123
651	45066	24053
652	45133	23983
653	45202	23914
654	45271	23845
655	45343	23777
656	45412	23708
657	45480	23638
658	45548	23569
659	45618	23500
660	45686	23430
661	45753	23360
662	45822	23291
663	45890	23221
664	45957	23151
665	46025	23081
666	46092	23011
667	46160	22941
668	46230	22873
669	46299	22804
670	46366	22734
671	46435	22664
672	46503	22595
673	46571	22525
674	46640	22456
675	46707	22386
676	46774	22316
677	46843	22247
678	46909	22176
679	46976	22106
680	47044	22037
681	47112	21967
682	47179	21897
683	47248	21828
684	47315	21758
685	47385	21689
686	47452	21619
687	47520	21549
688	47588	21480
689	47657	21411
690	47725	21341
691	47793	21272
692	47861	21202
693	47928	21132
694	47996	21063
695	48065	20993
696	48132	20923
697	48198	20853
698	48268	20785
699	48337	20715
700	48405	20646
701	48478	20579
702	48544	20508
703	48614	20440
704	48683	20371
705	48750	20301
706	48821	20232
707	48890	20163
708	48959	20094
709	49027	20025
710	49094	19955
711	49162	19885
712	49230	19816
713	49297	19746
714	49333	19664
715	49401	19594
716	49467	19524
717	49535	19455
718	49604	19386
719	49671	19316
720	49739	19247
721	49807	19177
722	49873	19107
723	49941	19038
724	50009	18969
725	50076	18899
726	50143	18829
727	50214	18761
728	50282	18692
729	50351	18623
730	50419	18553
731	50488	18484
732	50556	18415
733	50624	18346
734	50693	18277
735	50761	18207
736	50827	18137
737	50894	18068
738	50960	17998
739	51028	17928
740	51095	17859
741	51161	17789
742	51230	17720
743	51298	17650
744	51366	17581
745	51434	17512
746	51502	17443
747	51567	17373
748	51634	17303
749	51701	17233
750	51770	17164
751	51838	17095
752	51905	17026
753	51974	16957
754	52043	16888
755	52110	16818
756	52178	16749
757	52249	16681
758	52317	16611
759	52384	16542
760	52453	16473
761	52524	16405
762	52590	16335
763	52658	16266
764	52725	16196
765	52793	16127
766	52859	16057
767	52927	15988
768	52995	15919
769	53062	15849
770	53132	15781
771	53200	15711
772	53269	15643
773	53337	15573
774	53406	15505
775	53473	15435
776	53542	15366
777	53608	15297
778	53677	15228
779	53745	15159
780	53813	15089
781	53881	15020
782	53949	14951
783	54018	14882
784	54085	14813
785	54153	14744
786	54221	14674
787	54289	14605
788	54358	14536
789	54425	14467
790	54492	14398
791	54559	14328
792	54628	14259
793	54695	14190
794	54762	14121
795	54829	14051
796	54897	13982
797	54965	13913
798	55031	13844
799	55099	13774
800	55166	13705
801	55232	13635
802	55303	13567
803	55371	13498
804	55436	13428
805	55506	13360
806	55572	13290
807	55642	13221
808	55711	13153
809	55779	13084
810	55846	13014
811	55914	12945
812	55983	12876
813	56052	12807
814	56117	12738
815	56183	12668
816	56250	12599
817	56319	12530
818	56387	12461
819	56455	12392
820	56522	12323
821	56589	12254
822	56656	12184
823	56724	12115
824	56792	12046
825	56859	11977
826	56927	11908
827	56995	11839
828	57061	11770
829	57128	11701
830	57196	11632
831	57265	11563
832	57331	11493
833	57398	11424
834	57466	11355
835	57535	11286
836	57603	11217
837	57672	11149
838	57741	11080
839	57808	11011
840	57875	10942
841	57943	10873
842	58011	10803
843	58080	10735
844	58148	10666
845	58215	10597
846	58284	10528
847	58350	10459
848	58418	10390
849	58486	10321
850	58554	10252
851	58623	10183
852	58693	10114
853	58759	10045
854	58827	9976
855	58895	9907
856	58963	9838
857	59034	9770
858	59102	9701
859	59170	9632
860	59238	9563
861	59306	9494
862	59375	9425
863	59442	9356
864	59509	9287
865	59577	9218
866	59645	9149
867	59712	9080
868	59781	9011
869	59848	8942
870	59916	8873
871	59983	8804
872	60052	8736
873	60120	8667
874	60191	8598
875	60259	8529
876	60328	8461
877	60395	8392
878	60463	8323
879	60532	8254
880	60600	8185
881	60666	8116
882	60733	8047
883	60801	7978
884	60868	7909
885	60935	7840
886	61004	7771
887	61073	7702
888	61141	7634
889	61209	7565
890	61276	7496
891	61343	7427
892	61410	7358
893	61477	7289
894	61546	7220
895	61614	7151
896	61688	7083
897	61763	7015
898	61829	6946
899	61896	6877
900	61963	6808
901	62030	6739
902	62097	6670
903	62165	6601
904	62232	6532
905	62301	6463
906	62369	6395
907	62436	6326
908	62503	6257
909	62570	6188
910	62637	6119
911	62706	6050
912	62773	5981
913	62840	5912
914	62910	5844
915	62978	5775
916	63046	5706
917	63114	5637
918	63182	5568
919	63249	5499
920	63319	5431
921	63387	5362
922	63455	5293
923	63525	5225
924	63591	5156
925	63658	5087
926	63727	5018
927	63794	4949
928	63860	4880
929	63929	4811
930	63997	4743
931	64066	4674
932	64133	4605
933	64201	4536
934	64272	4468
935	64343	4399
936	64410	4330
937	64477	4261
938	64546	4193
939	64613	4124
940	64683	4055
941	64750	3986
942	64819	3918
943	64884	3849
944	64950	3780
945	65017	3711
946	65087	3642
947	65154	3573
948	65221	3505
949	65290	3436
950	65357	3367
951	65423	3298
952	65491	3229
953	65559	3161
954	65627	3092
955	65695	3023
956	65761	2954
957	65829	2886
958	65896	2817
959	65962	2748
960	66030	2679
961	66101	2611
962	66167	2542
963	66238	2473
964	66304	2404
965	66372	2336
966	66440	2267
967	66507	2198
968	66574	2129
969	66642	2061
970	66710	1992
971	66776	1923
972	66844	1854
973	66910	1786
974	66979	1717
975	67049	1648
976	67119	1580
977	67189	1511
978	67257	1442
979	67326	1374
980	67394	1305
981	67461	1236
982	67529	1167
983	67598	1099
984	67665	1030
985	67733	961
986	67801	893
987	67870	824
988	67941	755
989	68008	686
990	68074	618
991	68139	549
992	68206	480
993	68273	412
994	68341	343
995	68409	274
996	68477	206
997	68545	137
998	68611	68
999	68678	0
