,accuracy,balanced_accuracy,f1_weighted,f1_macro,cohen_kappa,min_class_f1,worst_class,training_time
Random Forest,0.987221494102228,0.984566152248074,0.9873114378004186,0.9817854638741043,0.985125512393032,0.9304347826086956,Mark-to-Market,1.0
XGBoost,0.9908256880733946,0.9899240368555586,0.9908931196892478,0.9872280175009234,0.989320808627331,0.9432314410480349,Mark-to-Market,2.3
CatBoost,0.9904980340760158,0.9902962632619083,0.9905718343680437,0.9874331525563986,0.9889407909731024,0.9432314410480349,Mark-to-Market,68.8
